ticker,
A,
AABA,
AAL,
AAP,
AAPL,
ABBV,
ABC,
ABT,
ACN,
ADBE,
ADI,
ADM,
ADP,
ADS,
ADSK,
AEE,
AEP,
AES,
AET,
AFL,
AGN,
AIG,
AIV,
AIZ,
AJG,
AKAM,
ALB,
ALK,
ALL,
ALLE,
ALXN,
AMAT,
AME,
AMG,
AMGN,
AMP,
AMT,
AMZN,
AN,
ANDV,
ANTM,
AON,
APA,
APC,
APD,
APH,
APTV,
ARNC,
ATVI,
AVB,
AVGO,
AVY,
AWK,
AXP,
AYI,
AZO,
BA,
BAC,
BAX,
BBBY,
BBT,
BBY,
BCR,
BDX,
BEN,
BF.B,
BHGE,
BIIB,
BK,
BKNG,
BLK,
BLL,
BMY,
BRK.B,
BSX,
BWA,
BXP,
C,
CA,
CAG,
CAH,
CAT,
CB,
CBRE,
CBS,
CCI,
CCL,
CELG,
CERN,
CF,
CFG,
CHD,
CHK,
CHRW,
CHTR,
CI,
CINF,
CL,
CLX,
CMA,
CMCSA,
CME,
CMG,
CMI,
CMS,
CNC,
CNP,
COF,
COG,
COL,
COO,
COP,
COST,
COTY,
CPB,
CPRI,
CRM,
CSCO,
CSRA,
CSX,
CTAS,
CTL,
CTSH,
CTXS,
CVS,
CVX,
CXO,
D,
DAL,
DD,
DE,
DFS,
DG,
DGX,
DHI,
DHR,
DIS,
DISCA,
DISCK,
DLR,
DLTR,
DNB,
DOV,
DOW,
DRI,
DTE,
DUK,
DVA,
DVN,
EA,
EBAY,
ECL,
ED,
EFX,
EIX,
EL,
EMN,
EMR,
ENDP,
EOG,
EQIX,
EQR,
EQT,
ES,
ESRX,
ESS,
ETFC,
ETN,
ETR,
EVHC,
EW,
EXC,
EXPD,
EXPE,
EXR,
F,
FAST,
FB,
FBHS,
FCX,
FDX,
FE,
FFIV,
FIS,
FISV,
FITB,
FL,
FLIR,
FLR,
FLS,
FMC,
FOX,
FOXA,
FRT,
FSLR,
FTI,
FTR,
FTV,
GD,
GE,
GGP,
GILD,
GIS,
GLW,
GM,
GOOG,
GOOGL,
GPC,
GPN,
GPS,
GRMN,
GS,
GT,
GWW,
HAL,
HAR,
HAS,
HBAN,
HBI,
HCA,
HCP,
HD,
HES,
HIG,
HOG,
HOLX,
HON,
HP,
HPE,
HPQ,
HRB,
HRL,
HRS,
HSIC,
HST,
HSY,
HUM,
IBM,
ICE,
IDXX,
IFF,
ILMN,
INTC,
INTU,
IP,
IPG,
IR,
IRM,
ISRG,
ITW,
IVZ,
JBHT,
JCI,
JEC,
JEF,
JNJ,
JNPR,
JPM,
JWN,
K,
KDP,
KEY,
KHC,
KIM,
KLAC,
KMB,
KMI,
KMX,
KO,
KORS,
KR,
KSS,
KSU,
L,
LB,
LEG,
LEN,
LH,
LKQ,
LLL,
LLTC,
LLY,
LMT,
LNC,
LNT,
LOW,
LRCX,
LUV,
LVLT,
LYB,
M,
MA,
MAA,
MAC,
MAR,
MAS,
MAT,
MCD,
MCHP,
MCK,
MCO,
MDLZ,
MDT,
MET,
MHK,
MJN,
MKC,
MLM,
MMC,
MMM,
MNK,
MNST,
MO,
MON,
MOS,
MPC,
MRK,
MRO,
MS,
MSFT,
MSI,
MTB,
MTD,
MU,
MUR,
MYL,
NAVI,
NBL,
NDAQ,
NEE,
NEM,
NFLX,
NFX,
NI,
NKE,
NLSN,
NOC,
NOV,
NRG,
NSC,
NTAP,
NTRS,
NUE,
NVDA,
NWL,
NWS,
NWSA,
O,
OKE,
OMC,
ORCL,
ORLY,
OXY,
PAYX,
PBCT,
PBI,
PCAR,
PCG,
PDCO,
PEG,
PEP,
PFE,
PFG,
PG,
PGR,
PH,
PHM,
PKI,
PLD,
PM,
PNC,
PNR,
PNW,
PPG,
PPL,
PRGO,
PRU,
PSA,
PSX,
PVH,
PWR,
PX,
PXD,
PYPL,
QCOM,
QRVO,
R,
RAI,
RCL,
REGN,
RF,
RHI,
RHT,
RIG,
RL,
ROK,
ROP,
ROST,
RRC,
RSG,
RTN,
SBUX,
SCG,
SCHW,
SE,
SEE,
SHW,
SIG,
SJM,
SLB,
SLG,
SNA,
SNI,
SO,
SPG,
SPGI,
SPLS,
SRCL,
SRE,
STI,
STT,
STX,
STZ,
SWK,
SWKS,
SWN,
SYF,
SYK,
SYMC,
SYY,
T,
TAP,
TDC,
TDG,
TEL,
TGNA,
TGT,
TIF,
TJX,
TMK,
TMO,
TPR,
TRIP,
TROW,
TRV,
TSCO,
TSN,
TSS,
TWX,
TXN,
TXT,
UA,
UAA,
UAL,
UDR,
UHS,
ULTA,
UNH,
UNM,
UNP,
UPS,
URBN,
URI,
USB,
UTX,
V,
VAR,
VFC,
VIAB,
VLO,
VMC,
VNO,
VRSK,
VRSN,
VRTX,
VTR,
VZ,
WAT,
WBA,
WDC,
WEC,
WELL,
WFC,
WFM,
WHR,
WLTW,
WM,
WMB,
WMT,
WRK,
WU,
WY,
WYND,
WYNN,
XEC,
XEL,
XL,
XLNX,
XOM,
XRAY,
XRX,
XYL,
YUM,
ZBH,
ZION,
ZTS,
